agent_name	grounding	other_mapping	cui
dauricine	"('CHEBI', 'CHEBI:4331')"	"{'CHEBI': 'CHEBI:4331', 'TEXT': 'dauricine', 'CAS': '524-17-4', 'CHEMBL': 'CHEMBL442717', 'PUBCHEM': '73400'}"	C0057161
CASP4	"('HGNC', '1505')"	"{'UP': 'P49662', 'TEXT': 'caspase-4', 'HGNC': '1505'}"	C1437927
MMP	"('FPLX', 'MMP')"	"{'FPLX': 'MMP', 'TEXT': 'MMP', 'NCIT': 'C18164', 'MESH': 'D020782'}"	C0623362
Gsk3a	"('UP', 'P18265')"	"{'UP': 'P18265', 'TEXT': 'FA'}"	C1415320
streptozocin	"('CHEBI', 'CHEBI:9288')"	"{'PUBCHEM': '29327', 'TEXT': 'streptozotocin', 'DRUGBANK': 'DB00428', 'HMDB': 'HMDB0014572', 'CHEMBL': 'CHEMBL1603', 'MESH': 'D013311', 'CHEBI': 'CHEBI:9288', 'CAS': '18883-66-4'}"	C0038432
CTSB	"('HGNC', '2527')"	"{'UP': 'P07858', 'TEXT': 'CTSB', 'HGNC': '2527'}"	C0699919
NTN1	"('HGNC', '8029')"	"{'UP': 'O95631', 'TEXT': 'netrin1', 'MESH': 'D000075388', 'HGNC': '8029'}"	C1442814
FA-insulin	"(None, None)"	{'TEXT': 'FA-insulin'}	C0021641
xanthine	"('CHEBI', 'CHEBI:15318')"	"{'CHEBI': 'CHEBI:15318', 'TEXT': 'xanthine', 'MESH': 'D014970'}"	C0043314
Netrin Receptor	"(None, None)"	{'TEXT': 'Netrin Receptor'}	C0538359
Propentofylline	"('CHEBI', 'CHEBI:32061')"	"{'CHEBI': 'CHEBI:32061', 'TEXT': 'Propentofylline', 'DRUGBANK': 'DB06479', 'CAS': '55242-55-2', 'PUBCHEM': '4938', 'CHEMBL': 'CHEMBL1079905'}"	C0072171
Neoplasm Invasiveness	"('MESH', 'D009361')"	"{'MESH': 'D009361', 'TEXT': 'invasion'}"	C0027626
TNFRSF19	"('HGNC', '11915')"	"{'UP': 'Q9NS68', 'TEXT': 'TROY', 'HGNC': '11915'}"	C1420811
CALML5	"('HGNC', '18180')"	"{'UP': 'Q9NZT1', 'TEXT': 'calmodulin-like skin protein', 'HGNC': '18180'}"	C1425365
CR1	"('HGNC', '2334')"	"{'UP': 'P17927', 'TEXT': 'CR1', 'HGNC': '2334'}"	C0056182
CHDH	"('HGNC', '24288')"	"{'UP': 'Q8NE62', 'TEXT': 'CHD', 'MESH': 'D050545', 'HGNC': '24288'}"	C1538452
Glioblastoma	"('MESH', 'D005909')"	"{'MESH': 'D005909', 'TEXT': 'glioblastoma'}"	C0017636
sodium chloride	"('CHEBI', 'CHEBI:26710')"	"{'PUBCHEM': '5234', 'TEXT': 'NaCl', 'CHEBI': 'CHEBI:26710', 'CHEMBL': 'CHEMBL1200574', 'MESH': 'D012965', 'DRUGBANK': 'DB09153', 'CAS': '7647-14-5'}"	C0037494
MID1	"('HGNC', '7095')"	"{'UP': 'O15344', 'TEXT': 'OS', 'HGNC': '7095'}"	C1417167
DAP	"('HGNC', '2672')"	"{'UP': 'P51397', 'TEXT': 'death-associated protein', 'HGNC': '2672'}"	C3813126
"2,5-diphenylfuran"	"('CHEBI', 'CHEBI:50459')"	"{'PUBCHEM': '70387', 'TEXT': 'PPF', 'CHEMBL': 'CHEMBL109224', 'CAS': '955-83-9', 'CHEBI': 'CHEBI:50459'}"	C0740116
sodium chloride	"('CHEBI', 'CHEBI:26710')"	"{'CHEBI': 'CHEBI:26710', 'TEXT': 'sodium chloride', 'PUBCHEM': '5234', 'CHEMBL': 'CHEMBL1200574', 'MESH': 'D012965', 'DRUGBANK': 'DB09153', 'CAS': '7647-14-5'}"	C0037494
long-term memory	"('GO', 'GO:0007616')"	"{'GO': 'GO:0007616', 'TEXT': 'long-term memory'}"	C0423909
SPI1	"('HGNC', '11241')"	"{'UP': 'P17947', 'TEXT': 'SPI1', 'HGNC': '11241'}"	C0253464
nanoparticle	"('CHEBI', 'CHEBI:50803')"	"{'CHEBI': 'CHEBI:50803', 'TEXT': 'nanoparticle'}"	C1450054
BuChE-K variant	"(None, None)"	{'TEXT': 'BuChE-K variant'}	C0205419
incretin	"(None, None)"	{'TEXT': 'incretin'}	C1562292
L/L genotype	"(None, None)"	{'TEXT': 'L/L genotype'}	C0017431
melatonin	"('CHEBI', 'CHEBI:16796')"	"{'PUBCHEM': '896', 'TEXT': 'Melatonin', 'CAS': '73-31-4', 'DRUGBANK': 'DB01065', 'MESH': 'D008550', 'CHEBI': 'CHEBI:16796', 'HMDB': 'HMDB0001389', 'CHEMBL': 'CHEMBL45'}"	C0025219
nitrite	"('CHEBI', 'CHEBI:16301')"	"{'CHEBI': 'CHEBI:16301', 'TEXT': 'nitrite', 'DRUGBANK': 'DB12529', 'PUBCHEM': '946', 'CAS': '14797-65-0'}"	C0028137
GSAP	"('HGNC', '28042')"	"{'UP': 'A4D1B5', 'TEXT': 'GSAP', 'HGNC': '28042'}"	C2678557
Syncope	"('MESH', 'D013575')"	"{'MESH': 'D013575', 'TEXT': 'syncope'}"	C0039070
TREML1	"('HGNC', '20434')"	"{'UP': 'Q86YW5', 'TEXT': 'TREML1', 'HGNC': '20434'}"	C1426933
Secretase	"(None, None)"	{'TEXT': 'Secretase'}	C0171484
Frontotemporal Lobar Degeneration	"('MESH', 'D057174')"	"{'MESH': 'D057174', 'TEXT': 'frontotemporal lobar degeneration'}"	C0751072
Amyloid beta	"(None, None)"	{'TEXT': 'Amyloid beta'}	C3484390
MATN1	"('HGNC', '6907')"	"{'UP': 'P21941', 'TEXT': 'CMP', 'HGNC': '6907'}"	C1417041
Acquired Immunodeficiency Syndrome	"('MESH', 'D000163')"	"{'MESH': 'D000163', 'TEXT': 'AIDS'}"	C0001175
RPS6KB1	"('HGNC', '10436')"	"{'UP': 'P23443', 'TEXT': 'S6K1', 'HGNC': '10436'}"	C1419748
Severe Acute Respiratory Syndrome	"('MESH', 'D045169')"	"{'MESH': 'D045169', 'TEXT': 'SARs'}"	C1175175
receptor-associated protein	"(None, None)"	{'TEXT': 'receptor-associated protein'}	C0597357
Parkinsonian Disorders	"('MESH', 'D020734')"	"{'MESH': 'D020734', 'TEXT': 'parkinsonism', 'HP': 'HP:0001300'}"	C0242422
Tau protein can	"(None, None)"	{'TEXT': 'Tau protein can'}	C0085401
trypsin	"(None, None)"	"{'PF': 'PF00089', 'TEXT': 'trypsin'}"	C0041236
curcumin	"('CHEBI', 'CHEBI:3962')"	"{'CHEBI': 'CHEBI:3962', 'TEXT': 'Curcumin', 'CAS': '458-37-7', 'DRUGBANK': 'DB11672', 'PUBCHEM': '969516', 'MESH': 'D003474', 'HMDB': 'HMDB0002269', 'CHEMBL': 'CHEMBL140'}"	C0010467
polyphenol	"('CHEBI', 'CHEBI:26195')"	"{'CHEBI': 'CHEBI:26195', 'TEXT': 'polyphenol', 'MESH': 'D059808'}"	C0071649
LDLR	"('HGNC', '6547')"	"{'UP': 'P01130', 'TEXT': 'low density lipoprotein receptor', 'MESH': 'D011973', 'HGNC': '6547'}"	C3493221
DBI	"('HGNC', '2690')"	"{'UP': 'P07108', 'TEXT': 'EP', 'HGNC': '2690', 'MESH': 'D026261'}"	C0031404
nicotine	"('CHEBI', 'CHEBI:18723')"	"{'CHEBI': 'CHEBI:18723', 'TEXT': 'nicotine', 'MESH': 'D009538', 'DRUGBANK': 'DB00184', 'HMDB': 'HMDB0001934', 'CAS': '54-11-5', 'CHEMBL': 'CHEMBL3', 'PUBCHEM': '89594'}"	C0028040
Caspase	"('FPLX', 'Caspase')"	"{'FPLX': 'Caspase', 'TEXT': 'Caspase', 'NCIT': 'C18153', 'GO': 'GO:0004199', 'IP': 'IPR002138', 'PF': 'PF00656', 'MESH': 'D020169'}"	C0010656
MUC1	"('HGNC', '7508')"	"{'UP': 'P15941', 'TEXT': 'MUC1', 'HGNC': '7508', 'MESH': 'D018396'}"	C1612111
pathogenesis	"('GO', 'GO:0009405')"	"{'GO': 'GO:0009405', 'TEXT': 'Pathogenesis'}"	C0699748
Fatty Liver	"('MESH', 'D005234')"	"{'MESH': 'D005234', 'TEXT': 'fatty liver'}"	C0015695
triglyceride	"('CHEBI', 'CHEBI:17855')"	"{'CHEBI': 'CHEBI:17855', 'TEXT': 'triglyceride', 'MESH': 'D014280'}"	C0041004
vasodilation	"('GO', 'GO:0042311')"	"{'GO': 'GO:0042311', 'TEXT': 'vasodilatation', 'MESH': 'D014664'}"	C0042401
disulfide	"('CHEBI', 'CHEBI:48343')"	"{'CHEBI': 'CHEBI:48343', 'TEXT': 'disulfide'}"	C0012771
Pressure Ulcer	"('MESH', 'D003668')"	"{'MESH': 'D003668', 'TEXT': 'Pressure ulcers'}"	C0011127
Pressure Ulcer	"('MESH', 'D003668')"	"{'MESH': 'D003668', 'TEXT': 'pressure ulcers'}"	C0011127
sensory perception of smell	"('GO', 'GO:0007608')"	"{'GO': 'GO:0007608', 'TEXT': 'olfaction'}"	C0037361
BCHE	"('HGNC', '983')"	"{'UP': 'P06276', 'TEXT': 'Butyrylcholinesterase', 'HGNC': '983'}"	C1412756
neurotrophin	"(None, None)"	{'TEXT': 'neurotrophin'}	C1332408
CB1 receptors	"(None, None)"	{'TEXT': 'CB1 receptors'}	C0378126
HSPA5	"('HGNC', '5238')"	"{'UP': 'P11021', 'TEXT': 'Bip', 'HGNC': '5238'}"	C1415761
inositol	"('CHEBI', 'CHEBI:24848')"	"{'CHEBI': 'CHEBI:24848', 'TEXT': 'inositol', 'PUBCHEM': '892'}"	C0021547
OTUB1	"('HGNC', '23077')"	"{'UP': 'Q96FW1', 'TEXT': 'Otub1', 'HGNC': '23077'}"	C1427896
ERBB4	"('HGNC', '3432')"	"{'UP': 'Q15303', 'TEXT': 'ErbB4', 'MESH': 'D066247', 'HGNC': '3432'}"	C3853568
"Hypotension, Orthostatic"	"('MESH', 'D007024')"	"{'MESH': 'D007024', 'TEXT': 'Orthostatic hypotension'}"	C0231472
"2,4-dinitrophenol"	"('CHEBI', 'CHEBI:42017')"	"{'CHEBI': 'CHEBI:42017', 'TEXT': '2,4-dinitrophenol', 'CAS': '51-28-5', 'PUBCHEM': '1493', 'DRUGBANK': 'DB04528', 'CHEMBL': 'CHEMBL273386', 'MESH': 'D019297'}"	C0012466
Glioma	"('MESH', 'D005910')"	"{'MESH': 'D005910', 'TEXT': 'glioma'}"	C0017638
angiogenesis	"('GO', 'GO:0001525')"	"{'GO': 'GO:0001525', 'TEXT': 'angiogenesis', 'MESH': 'D018919'}"	C0302600
Craniocerebral Trauma	"('MESH', 'D006259')"	"{'MESH': 'D006259', 'TEXT': 'head trauma', 'EFO': '0009505'}"	C0018674
GRIA2	"('HGNC', '4572')"	"{'UP': 'P42262', 'TEXT': 'GluA2', 'HGNC': '4572'}"	C1415288
DTL	"('HGNC', '30288')"	"{'UP': 'Q9NZJ0', 'TEXT': 'CDT-2', 'HGNC': '30288'}"	C1824983
cytokine secretion	"('GO', 'GO:0050663')"	"{'GO': 'GO:0050663', 'TEXT': 'Cytokine Secretion'}"	C1327414
LRP4	"('HGNC', '6696')"	"{'UP': 'O75096', 'TEXT': 'LRP10', 'HGNC': '6696'}"	C1539125
Met-Met	"('CHEBI', 'CHEBI:74707')"	"{'PUBCHEM': '6993082', 'TEXT': 'mM', 'CHEBI': 'CHEBI:74707', 'CHEMBL': 'CHEMBL1222165'}"	C1550543
MMP	"('FPLX', 'MMP')"	"{'FPLX': 'MMP', 'TEXT': 'MMPs', 'NCIT': 'C18164', 'MESH': 'D020782'}"	C0623362
CFH	"('HGNC', '4883')"	"{'UP': 'P08603', 'TEXT': 'CFH', 'HGNC': '4883'}"	C1538440
FHL1	"('HGNC', '3702')"	"{'UP': 'Q13642', 'TEXT': 'FHL-1', 'HGNC': '3702'}"	C4551514
MMP2	"('HGNC', '7166')"	"{'UP': 'P08253', 'TEXT': 'MMP-2', 'HGNC': '7166', 'MESH': 'D020778'}"	C0172537
TP53INP2	"('HGNC', '16104')"	"{'UP': 'Q8IXH6', 'TEXT': 'DOR', 'HGNC': '16104'}"	C1540040
reactive oxygen species biosynthetic process	"('GO', 'GO:1903409')"	"{'GO': 'GO:1903409', 'TEXT': 'reactive oxygen species generation'}"	C3894443
UDCA	"(None, None)"	{'TEXT': 'UDCA'}	C0042105
use	"(None, None)"	{'TEXT': 'use'}	C0457083
ascorbic acid	"('CHEBI', 'CHEBI:22652')"	"{'CHEBI': 'CHEBI:22652', 'TEXT': 'Ascorbic Acid'}"	C0003968
EPO	"('HGNC', '3415')"	"{'UP': 'P01588', 'TEXT': 'EPO', 'MESH': 'D004921', 'HGNC': '3415'}"	C2976467
lipoic acid	"('CHEBI', 'CHEBI:16494')"	"{'CHEBI': 'CHEBI:16494', 'TEXT': 'Lipoic Acid', 'CAS': '1200-22-2', 'DRUGBANK': 'DB00166', 'PUBCHEM': '6112', 'HMDB': 'HMDB0001451', 'CHEMBL': 'CHEMBL134342'}"	C0023791
EPO	"('HGNC', '3415')"	"{'UP': 'P01588', 'TEXT': 'erythropoietin', 'MESH': 'D004921', 'HGNC': '3415'}"	C2976467
SQSTM1	"('HGNC', '11280')"	"{'UP': 'Q13501', 'TEXT': 'SQSTM1', 'MESH': 'D000071456', 'HGNC': '11280'}"	C1420393
3-methyladenine	"('CHEBI', 'CHEBI:38635')"	"{'CHEBI': 'CHEBI:38635', 'TEXT': '3-methyladenine', 'CAS': '5142-23-4', 'HMDB': 'HMDB0011600', 'CHEMBL': 'CHEMBL292268', 'DRUGBANK': 'DB04104', 'PUBCHEM': '135398661'}"	C0047569
Hyperinsulinism	"('MESH', 'D006946')"	"{'MESH': 'D006946', 'TEXT': 'Hyperinsulinemia'}"	C0020459
lipoic acid	"('CHEBI', 'CHEBI:16494')"	"{'CHEBI': 'CHEBI:16494', 'TEXT': 'lipoic acid', 'CAS': '1200-22-2', 'DRUGBANK': 'DB00166', 'PUBCHEM': '6112', 'HMDB': 'HMDB0001451', 'CHEMBL': 'CHEMBL134342'}"	C0023791
Syndrome	"('MESH', 'D013577')"	"{'MESH': 'D013577', 'TEXT': 'syndromes', 'DOID': 'DOID:225'}"	C0039082
autophagy inhibitor	"('CHEBI', 'CHEBI:88230')"	"{'CHEBI': 'CHEBI:88230', 'TEXT': 'Autophagy inhibitor'}"	C0004391
D-glucitol	"('CHEBI', 'CHEBI:17924')"	"{'PUBCHEM': '5780', 'TEXT': 'sorbitol', 'CHEBI': 'CHEBI:17924', 'CAS': '50-70-4', 'CHEMBL': 'CHEMBL1682', 'DRUGBANK': 'DB01638', 'HMDB': 'HMDB0000247'}"	C0037688
MAPT	"('HGNC', '6893')"	"{'UP': 'P10636', 'TEXT': 'microtubule-associated protein Tau', 'HGNC': '6893'}"	C1446659
visual learning	"('GO', 'GO:0008542')"	"{'GO': 'GO:0008542', 'TEXT': 'spatial learning'}"	C0582587
MTOR	"('HGNC', '3942')"	"{'UP': 'P42345', 'TEXT': 'mammalian target of rapamycin', 'MESH': 'D058570', 'HGNC': '3942'}"	C1307407
fluvastatin	"('CHEBI', 'CHEBI:38561')"	"{'PUBCHEM': '1548972', 'TEXT': 'fluvastatin', 'CHEBI': 'CHEBI:38561', 'MESH': 'D000077340', 'CAS': '93957-54-1', 'CHEMBL': 'CHEMBL350239', 'DRUGBANK': 'DB01095', 'HMDB': 'HMDB0015227'}"	C0082608
NMDA receptor	"(None, None)"	{'TEXT': 'NMDA receptor'}	C0080093
Arg-Arg	"('CHEBI', 'CHEBI:73811')"	"{'PUBCHEM': '151956', 'TEXT': 'RR', 'CHEBI': 'CHEBI:73811', 'CHEMBL': 'CHEMBL296756', 'CAS': '15483-27-9'}"	C0653858
APOE4 genotype	"(None, None)"	{'TEXT': 'APOE4 genotype'}	C0052201
MAP-kinase kinase kinase	"(None, None)"	{'TEXT': 'MAP-kinase kinase kinase'}	C0211705
MAP2K7	"('HGNC', '6847')"	"{'UP': 'O14733', 'TEXT': 'MKK7', 'HGNC': '6847', 'MESH': 'D048688'}"	C1456387
DAPK3	"('HGNC', '2676')"	"{'UP': 'O43293', 'TEXT': 'DLK', 'HGNC': '2676'}"	C1413908
BSG	"('HGNC', '1116')"	"{'UP': 'P35613', 'TEXT': 'CD147', 'HGNC': '1116', 'MESH': 'D051926'}"	C1412828
IRS1	"('HGNC', '6125')"	"{'UP': 'P35568', 'TEXT': 'IRS-1', 'HGNC': '6125'}"	C1334140
17beta-hydroxy-5alpha-androstan-3-one	"('CHEBI', 'CHEBI:16330')"	"{'PUBCHEM': '10635', 'TEXT': 'DHT', 'DRUGBANK': 'DB02901', 'CHEMBL': 'CHEMBL27769', 'HMDB': 'HMDB0002961', 'CHEBI': 'CHEBI:16330', 'CAS': '521-18-6', 'MESH': 'D013196'}"	C0038148
ASS234	"(None, None)"	{'TEXT': 'ASS234'}	C3886715
17beta-hydroxy-5alpha-androstan-3-one	"('CHEBI', 'CHEBI:16330')"	"{'PUBCHEM': '10635', 'TEXT': 'dihydrotestosterone', 'DRUGBANK': 'DB02901', 'CHEMBL': 'CHEMBL27769', 'HMDB': 'HMDB0002961', 'CHEBI': 'CHEBI:16330', 'CAS': '521-18-6', 'MESH': 'D013196'}"	C0038148
PTSD	"(None, None)"	{'TEXT': 'PTSD'}	C0038436
GBA	"('HGNC', '4177')"	"{'UP': 'P04062', 'TEXT': 'GBA', 'MESH': 'D005962', 'HGNC': '4177'}"	C1414998
BSP	"('UP', 'Q09117')"	"{'UP': 'Q09117', 'TEXT': 'BSP'}"	C0282359
BACE1	"('HGNC', '933')"	"{'UP': 'P56817', 'TEXT': 'BACE-1', 'HGNC': '933'}"	C1412727
Metallothionein	"('FPLX', 'Metallothionein')"	"{'FPLX': 'Metallothionein', 'TEXT': 'Mt', 'MESH': 'D008668'}"	C0025545
ERK1/2 MAP kinases	"(None, None)"	{'TEXT': 'ERK1/2 MAP kinases'}	C0082529
exendin-4	"('CHEBI', 'CHEBI:64073')"	"{'CHEBI': 'CHEBI:64073', 'TEXT': 'exendin-4', 'CAS': '141758-74-9', 'MESH': 'D000077270', 'PUBCHEM': '56927919'}"	C0167117
MAPK cascade	"('GO', 'GO:0000165')"	"{'GO': 'GO:0000165', 'TEXT': 'MAP kinase cascade'}"	C0752319
luteolin	"('CHEBI', 'CHEBI:15864')"	"{'CHEBI': 'CHEBI:15864', 'TEXT': 'luteolin', 'PUBCHEM': '5280445', 'CAS': '491-70-3', 'CHEMBL': 'CHEMBL151', 'DRUGBANK': 'DB15584', 'MESH': 'D047311', 'HMDB': 'HMDB0005800'}"	C0065264
p.Q65P variant	"(None, None)"	{'TEXT': 'p.Q65P variant'}	C0205419
transmembrane protein	"(None, None)"	"{'PF': 'PF14995', 'TEXT': 'transmembrane protein'}"	C0021699
telomerase	"(None, None)"	{'TEXT': 'telomerase'}	C0087071
TMEM175/GAK/DGKQ locus	"(None, None)"	{'TEXT': 'TMEM175/GAK/DGKQ locus'}	C1708726
Gamma_secretase	"('FPLX', 'Gamma_secretase')"	"{'FPLX': 'Gamma_secretase', 'TEXT': 'gamma-secretase', 'NCIT': 'C95114', 'GO': 'GO:0070765'}"	C0379528
PPARG	"('HGNC', '9236')"	"{'UP': 'P37231', 'TEXT': 'peroxisome proliferator activated receptor gamma', 'MESH': 'D047495', 'HGNC': '9236'}"	C3887582
Angiotension receptor	"(None, None)"	{'TEXT': 'Angiotension receptor'}	C0597357
PDE5 inhibitors	"(None, None)"	{'TEXT': 'PDE5 inhibitors'}	C1318700
KL	"('HGNC', '6344')"	"{'UP': 'Q9UEF7', 'TEXT': 'Klotho', 'HGNC': '6344'}"	C1366480
JUN	"('HGNC', '6204')"	"{'UP': 'P05412', 'TEXT': 'transcription factor AP-1', 'HGNC': '6204'}"	C3829443
HMBS	"('HGNC', '4982')"	"{'UP': 'P08397', 'TEXT': 'UPS', 'HGNC': '4982', 'MESH': 'D011163'}"	C1415597
Vascular Remodeling	"('MESH', 'D066253')"	"{'MESH': 'D066253', 'TEXT': 'vascular remodeling'}"	C3850148
ubiquitin proteasome	"(None, None)"	{'TEXT': 'ubiquitin proteasome'}	C0208355
Toll-like receptors	"(None, None)"	{'TEXT': 'Toll-like receptors'}	C0670896
PARP	"('FPLX', 'PARP')"	"{'FPLX': 'PARP', 'TEXT': 'PARPs', 'PF': 'PF00644', 'MESH': 'D011065'}"	C1567710
pore complex assembly	"('GO', 'GO:0046931')"	"{'GO': 'GO:0046931', 'TEXT': 'pore formation'}"	C1326292
CD38	"('HGNC', '1667')"	"{'UP': 'P28907', 'TEXT': 'CD38', 'HGNC': '1667', 'MESH': 'D051997'}"	C3715135
Craniocerebral Trauma	"('MESH', 'D006259')"	"{'MESH': 'D006259', 'TEXT': 'head injury', 'EFO': '0009505'}"	C0018674
NAD	"('CHEBI', 'CHEBI:13389')"	"{'CHEBI': 'CHEBI:13389', 'TEXT': 'NAD'}"	C0027270
HDAC_III	"('FPLX', 'HDAC_III')"	"{'FPLX': 'HDAC_III', 'IP': 'IPR003000', 'TEXT': 'sirtuin'}"	C0019643
PARP	"('FPLX', 'PARP')"	"{'FPLX': 'PARP', 'TEXT': 'poly (ADP-ribose) polymerases', 'PF': 'PF00644', 'MESH': 'D011065'}"	C1567710
BST1	"('HGNC', '1118')"	"{'UP': 'Q10588', 'TEXT': 'CD157', 'HGNC': '1118'}"	C1412830
cyclic ADP-ribose	"('CHEBI', 'CHEBI:31445')"	"{'CHEBI': 'CHEBI:31445', 'TEXT': 'cyclic ADP-ribose', 'PUBCHEM': '123847', 'CAS': '119340-53-3', 'MESH': 'D036563'}"	C0056693
Hypertension	"('MESH', 'D006973')"	"{'MESH': 'D006973', 'TEXT': 'Hypertension'}"	C0020538
BCHE	"('HGNC', '983')"	"{'UP': 'P06276', 'TEXT': 'butyrylcholinesterase', 'HGNC': '983'}"	C1412756
ACE inhibitors	"(None, None)"	{'TEXT': 'ACE inhibitors'}	C0003015
BCHE	"('HGNC', '983')"	"{'UP': 'P06276', 'TEXT': 'BCHE', 'HGNC': '983'}"	C1412756
FANCC	"('HGNC', '3584')"	"{'UP': 'Q00597', 'TEXT': 'FANCC', 'HGNC': '3584', 'MESH': 'D052218'}"	C0216736
Smad1/5/8	"(None, None)"	{'TEXT': 'Smad1/5/8'}	C1414988
TLR	"('FPLX', 'TLR')"	"{'FPLX': 'TLR', 'TEXT': 'TLR'}"	C1336763
anti-BMP4 antibody	"(None, None)"	{'TEXT': 'anti-BMP4 antibody'}	C0003242
BMP4	"('HGNC', '1071')"	"{'UP': 'P12644', 'TEXT': 'BMP4', 'HGNC': '1071', 'MESH': 'D055415'}"	C0530979
BMP4	"('HGNC', '1071')"	"{'UP': 'P12644', 'TEXT': 'BMP-4', 'HGNC': '1071', 'MESH': 'D055415'}"	C0530979
estrogen biosynthetic process	"('GO', 'GO:0006703')"	"{'GO': 'GO:0006703', 'TEXT': 'estrogen biosynthesis'}"	C1157310
PPP3CA	"('HGNC', '9314')"	"{'UP': 'Q08209', 'TEXT': 'PPP3CA', 'HGNC': '9314'}"	C1511476
Phosphatase	"('FPLX', 'Phosphatase')"	"{'FPLX': 'Phosphatase', 'TEXT': 'phosphatase', 'NCIT': 'C16981'}"	C0031678
Glycoprotein	"(None, None)"	"{'PF': 'PF03409', 'TEXT': 'Glycoprotein'}"	C0017968
amyloid beta 1-42	"(None, None)"	{'TEXT': 'amyloid beta 1-42'}	C2827504
circadian rhythm	"('GO', 'GO:0007623')"	"{'GO': 'GO:0007623', 'TEXT': 'circadian rhythm', 'MESH': 'D002940'}"	C0008810
CXCL12	"('HGNC', '10672')"	"{'UP': 'P48061', 'TEXT': 'SDF-1', 'MESH': 'D054377', 'HGNC': '10672'}"	C0218504
AIF1	"('HGNC', '352')"	"{'UP': 'P55008', 'TEXT': 'Iba-1', 'HGNC': '352'}"	C1412299
TCR	"('FPLX', 'TCR')"	"{'FPLX': 'TCR', 'TEXT': 'TCR', 'NCIT': 'C17065'}"	C0034790
adaptive immune response	"('GO', 'GO:0002250')"	"{'GO': 'GO:0002250', 'TEXT': 'adaptive immunity'}"	C1749719
IL12P70	"(None, None)"	{'TEXT': 'IL12P70'}	C0123759
MMP10	"('HGNC', '7156')"	"{'UP': 'P09238', 'TEXT': 'MMP10', 'HGNC': '7156'}"	C1417200
IL-12P40	"(None, None)"	{'TEXT': 'IL-12P40'}	C1121402
CSF MMP9	"(None, None)"	{'TEXT': 'CSF MMP9'}	C0165519
CCL22	"('HGNC', '10621')"	"{'UP': 'O00626', 'TEXT': 'macrophage-derived chemokine', 'HGNC': '10621', 'MESH': 'D054422'}"	C0674299
epithelial to mesenchymal transition	"('GO', 'GO:0001837')"	"{'GO': 'GO:0001837', 'TEXT': 'epithelial-mesenchymal transition', 'MESH': 'D058750'}"	C1523298
calcium-mediated signaling	"('GO', 'GO:0019722')"	"{'GO': 'GO:0019722', 'TEXT': 'calcium signalling'}"	C0600431
Carcinoma	"('MESH', 'D002277')"	"{'MESH': 'D002277', 'TEXT': 'carcinoma'}"	C0007097
Caspase_3_7	"('FPLX', 'Caspase_3_7')"	"{'FPLX': 'Caspase_3_7', 'TEXT': 'caspase-3/7'}"	C0537969
Thrombosis	"('MESH', 'D013927')"	"{'MESH': 'D013927', 'TEXT': 'thrombosis', 'DOID': 'DOID:0060903'}"	C0302148
SLC23A2	"('HGNC', '10973')"	"{'UP': 'Q9UGH3', 'TEXT': 'SVCT2', 'HGNC': '10973'}"	C1420144
Leukoencephalopathies	"('MESH', 'D056784')"	"{'MESH': 'D056784', 'TEXT': 'leukoencephalopathy', 'HP': 'HP:0002352'}"	C0270612
MPL	"('HGNC', '7217')"	"{'UP': 'P40238', 'TEXT': 'MPL', 'HGNC': '7217', 'MESH': 'D053628'}"	C0218227
salt	"('CHEBI', 'CHEBI:24866')"	"{'CHEBI': 'CHEBI:24866', 'TEXT': 'salt'}"	C0037494
SLC22A3	"('HGNC', '10967')"	"{'UP': 'O75751', 'TEXT': 'EMT', 'HGNC': '10967'}"	C1420138
"Arrhythmias, Cardiac"	"('MESH', 'D001145')"	"{'MESH': 'D001145', 'TEXT': 'arrhythmia'}"	C0003811
FTD	"(None, None)"	{'TEXT': 'FTD'}	C0338451
PRKN	"('HGNC', '8607')"	"{'UP': 'O60260', 'TEXT': 'parkin', 'HGNC': '8607'}"	C1311470
CHMP2B	"('HGNC', '24537')"	"{'UP': 'Q9UQN3', 'TEXT': 'CHMP2B', 'HGNC': '24537'}"	C1538456
globin	"(None, None)"	"{'PF': 'PF00042', 'TEXT': 'globin'}"	C0017645
HLA-DRB1	"('HGNC', '4948')"	"{'UP': 'P01911', 'TEXT': 'HLA-DRB1', 'MESH': 'D059811', 'HGNC': '4948'}"	C0122040
luciferase	"('UP', 'Q01158')"	"{'UP': 'Q01158', 'TEXT': 'luciferase'}"	C0024075
C9orf72	"('HGNC', '28337')"	"{'UP': 'Q96LT7', 'TEXT': 'C9orf72', 'HGNC': '28337'}"	C1428691
DQB1 gene variants	"(None, None)"	{'TEXT': 'DQB1 gene variants'}	C0678941
mitochondrial LC3-II	"(None, None)"	{'TEXT': 'mitochondrial LC3-II'}	C0026237
CASP8	"('HGNC', '1509')"	"{'UP': 'Q14790', 'TEXT': 'CASP8', 'HGNC': '1509', 'MESH': 'D053181'}"	C0667830
Huntington Disease	"('MESH', 'D006816')"	"{'MESH': 'D006816', 'TEXT': ""Huntington's disease"", 'DOID': 'DOID:12858'}"	C0020179
Caspase	"('FPLX', 'Caspase')"	"{'FPLX': 'Caspase', 'TEXT': 'caspase', 'NCIT': 'C18153', 'GO': 'GO:0004199', 'IP': 'IPR002138', 'PF': 'PF00656', 'MESH': 'D020169'}"	C0010656
